ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-250N|refseq:NP_499284|uniprotkb:P41958	DIP-1016N|refseq:NP_498007|uniprotkb:P30429	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:9027312|pubmed:DIP-17986S|pubmed:9027312|pubmed:DIP-17986S|pubmed:9027312|pubmed:DIP-17986S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-66E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-244N|refseq:NP_502538|uniprotkb:P42573	DIP-1016N|refseq:NP_498007|uniprotkb:P30429	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0047(far western blotting)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:9027312|pubmed:DIP-17986S|pubmed:16938876|pubmed:DIP-17266S|pubmed:9027312|pubmed:DIP-17986S|pubmed:9027312|pubmed:DIP-17986S|pubmed:16938876|pubmed:DIP-17266S|pubmed:9027312|pubmed:DIP-17986S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-67E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-926N|refseq:NP_508145|uniprotkb:Q19019	DIP-1014N|uniprotkb:P24348	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7652556|pubmed:DIP-453S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-87E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24569N|refseq:NP_741617	DIP-24676N|refseq:NP_491709|uniprotkb:O01497	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40367E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-26496N|refseq:NP_501211	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40387E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-26439N|refseq:NP_492708|uniprotkb:Q23312	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40399E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25298N|refseq:NP_498174|uniprotkb:Q95QC2	DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40425E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26036N|refseq:NP_509586|uniprotkb:P41941	DIP-25166N|refseq:NP_741278|uniprotkb:O18657	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40439E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	DIP-27373N|refseq:NP_505262|uniprotkb:Q22886	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40471E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-24454N|refseq:NP_491780|uniprotkb:O02161	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40427E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-24569N|refseq:NP_741617	-	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40364E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27373N|refseq:NP_505262|uniprotkb:Q22886	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40365E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-24673N|refseq:NP_498711|uniprotkb:P34269	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40366E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24457N|refseq:NP_505018|uniprotkb:Q8I7I0	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40368E	dip-quality-status:	dip:0005(high throughput)		-
