ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-559N	DIP-445N|uniprotkb:P46414	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9067571|pubmed:DIP-5S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-21E	dip-quality-status:core	dip:0002(small scale)		-
DIP-147N|uniprotkb:P21675	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-172E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-53N|refseq:NP_057869|uniprotkb:P17095	DIP-953N|refseq:NP_003111|uniprotkb:P17947	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7594592|pubmed:DIP-403S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-76E	dip-quality-status:core	dip:0002(small scale)		-
DIP-497N|uniprotkb:P43063	DIP-445N|uniprotkb:P46414	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9067571|pubmed:DIP-5S	taxid:5476(Candida albicans)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-22E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1084N|uniprotkb:P03995	DIP-1081N|uniprotkb:P04273	 -	-	-	-	MI:0013(biophysical)	-	pubmed:1974464|pubmed:DIP-311S	taxid:10090(Mus musculus)	taxid:10036(Mesocricetus auratus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55E	dip-quality-status:core	dip:0002(small scale)		-
DIP-4N|refseq:NP_035300|uniprotkb:P04925	DIP-1065N|refseq:NP_033871|uniprotkb:P10417	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8738158|pubmed:DIP-243S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-56E	dip-quality-status:core	dip:0002(small scale)		-
DIP-407N|uniprotkb:P19438	DIP-468N|uniprotkb:P39429	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9129204|pubmed:DIP-72S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-79E	dip-quality-status:core	dip:0002(small scale)		-
DIP-950N|refseq:NP_032386|uniprotkb:P70380	DIP-483N|uniprotkb:P01579	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-89E	dip-quality-status:core	dip:0002(small scale)		-
DIP-175N|uniprotkb:P29466	DIP-950N|refseq:NP_032386|uniprotkb:P70380	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-90E	dip-quality-status:core	dip:0002(small scale)		-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	DIP-950N|refseq:NP_032386|uniprotkb:P70380	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-91E	dip-quality-status:core	dip:0002(small scale)		-
DIP-226N|uniprotkb:P14859	DIP-977N|refseq:NP_035266|uniprotkb:Q64693	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8530384|pubmed:DIP-328S|pubmed:8530384|pubmed:DIP-328S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-121E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-51N|uniprotkb:P09086	DIP-977N|refseq:NP_035266|uniprotkb:Q64693	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)	-	pubmed:8530384|pubmed:DIP-328S|pubmed:8530384|pubmed:DIP-328S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-122E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-493N|uniprotkb:Q62311	DIP-421N|refseq:NP_066402|uniprotkb:P06899	 -	-	-	-	MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8598932|pubmed:DIP-6S|pubmed:8598932|pubmed:DIP-6S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-151E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-922N|refseq:NP_003484|uniprotkb:Q16695	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:8598932|pubmed:DIP-6S|pubmed:8598932|pubmed:DIP-6S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-152E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-435N|uniprotkb:Q16594	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-173E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-496N|refseq:NP_005635|uniprotkb:Q16514	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-174E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
