ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-3062N|refseq:NP_207410|uniprotkb:O25336	DIP-3056N|refseq:NP_206807|uniprotkb:P56155	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4318E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3089N|refseq:NP_206830|uniprotkb:O24871	DIP-3100N|refseq:NP_208341|uniprotkb:O26074	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4359E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3103N|refseq:NP_206866|uniprotkb:O24906	DIP-3101N|refseq:NP_206833|uniprotkb:O24874	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4361E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3129N|refseq:NP_206864|uniprotkb:O24904	DIP-3130N|refseq:NP_206863|uniprotkb:O24903	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4391E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3055N|refseq:NP_206888|uniprotkb:P55993	DIP-3164N|refseq:NP_207019|uniprotkb:O25009	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4433E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3170N|refseq:NP_206900|uniprotkb:O24926	DIP-3176N|refseq:NP_207504|uniprotkb:O25414	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4447E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3194N|refseq:NP_206915|uniprotkb:Q07911	DIP-3183N|refseq:NP_207948|uniprotkb:O25772	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4466E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3213N|refseq:NP_207910|uniprotkb:O25744	DIP-3201N|refseq:NP_206936|uniprotkb:P55979	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4485E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3089N|refseq:NP_206830|uniprotkb:O24871	DIP-3091N|refseq:NP_207152|uniprotkb:O25121	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4347E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3152N|refseq:NP_207929|uniprotkb:O25758	DIP-3145N|refseq:NP_206872|uniprotkb:P14917	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4418E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3221N|refseq:NP_206937|uniprotkb:O24949	DIP-3069N|refseq:NP_206812|uniprotkb:P42383	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4493E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3048N|refseq:NP_206851|uniprotkb:O24891	DIP-3047N|refseq:NP_206803|uniprotkb:O24853	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4305E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3049N|refseq:NP_207153|uniprotkb:O25122	DIP-3047N|refseq:NP_206803|uniprotkb:O24853	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4306E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3047N|refseq:NP_206803|uniprotkb:O24853	DIP-3050N|refseq:NP_207585|uniprotkb:O25480	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4307E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3051N|refseq:NP_206804|uniprotkb:O24854	DIP-3051N|refseq:NP_206804|uniprotkb:O24854	-	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4308E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3051N|refseq:NP_206804|uniprotkb:O24854	DIP-3052N|refseq:NP_207991|uniprotkb:P56036	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4309E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3053N|refseq:NP_207224|uniprotkb:O34810	DIP-3051N|refseq:NP_206804|uniprotkb:O24854	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4310E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3054N|refseq:NP_208242|uniprotkb:O25990	DIP-3051N|refseq:NP_206804|uniprotkb:O24854	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4311E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3057N|refseq:NP_206916|uniprotkb:P55991	DIP-3056N|refseq:NP_206807|uniprotkb:P56155	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11196647|pubmed:DIP-1074S	taxid:85962(Helicobacter pylori 26695)	taxid:85962(Helicobacter pylori 26695)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4313E	dip-quality-status:	dip:0005(high throughput)		-
